LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-95.0809737,29.9066709,815,S ASTERN  DR,,UNINCORPORATED,,TX,77532,1143919,675fab4db41c015d
-95.4055661,29.7298031,1904,BANKS  ST,,HOUSTON,,TX,77098,625076,70d4cd7c453b5992
-95.3875881,30.0224441,2697,FM 1960 E RD,,HOUSTON,,TX,77073,411451,9a6de356b7165bd7
-95.1946911,29.9931442,5318,FLAX BOURTON  ST,,UNINCORPORATED,,TX,77346,1242233,28676744babd008f
-95.6129362,29.9327544,12903,MAGNOLIA LEAF  ST,,UNINCORPORATED,,TX,77065,359208,febb7efda3c415c2
-95.3451935,30.0495638,23107,HILL CREEK  RD,,UNINCORPORATED,,TX,77373,732427,28288dfe05745524
-95.1620262,30.0569675,5627,ROCKY BROOK  DR,,HOUSTON,,TX,77345,698437,fe7c49274058839b
-95.7358284,29.8260078,3610,WATERPORT  LN,,HOUSTON,,TX,77449,985033,4e350e65b7060eae
-95.4996712,29.9526393,12115,EMBER LAKE  RD,,UNINCORPORATED,,TX,77066,430241,9e00671394895da5
-95.0473784,29.6784422,2014,SENS  RD,,LA PORTE,,TX,77571,1018941,f56aab28c93f6b23